kosk_id,tarih,ilce,trafo_gerilimi_kV,akim_A,sicaklik_C,nem_orani,topraklama_direnci,koruma_rölesi_durumu,kapi_acik,ariza_var,anomali_skoru
BK001,2025-03-01,Beşikdüzü,0.41,97.9,33.2,80.2,1.88,0,0,0,0.15
BK001,2025-03-08,Yomra,0.389,103.6,20.4,47.8,1.72,0,0,0,0.11
BK001,2025-03-05,Of,0.401,78.6,27.3,66.1,1.42,0,0,0,0.22
BK001,2025-03-22,Araklı,0.419,91.0,39.3,64.9,1.47,0,0,0,0.32
BK001,2025-03-03,Köprübaşı,0.373,103.0,33.7,66.7,1.94,0,0,0,0.18
BK001,2025-03-02,Ortahisar,0.382,104.9,28.1,58.2,2.31,0,0,0,0.21
BK001,2025-03-03,Maçka,0.383,95.4,31.7,74.8,1.76,0,0,0,0.1
BK001,2025-03-08,Çaykara,0.406,105.4,26.8,68.6,2.77,0,0,0,0.0
BK001,2025-03-20,Ortahisar,0.402,95.5,30.5,45.1,1.89,0,0,0,0.19
BK001,2025-03-18,Maçka,0.391,113.7,31.6,59.7,2.26,0,0,0,0.1
BK001,2025-03-23,Araklı,0.406,103.9,30.0,62.7,1.29,0,0,0,0.1
BK001,2025-03-14,Yomra,0.36,103.9,29.6,45.8,1.99,0,0,0,0.08
BK001,2025-03-15,Beşikdüzü,0.396,104.5,29.8,53.3,2.57,0,0,0,0.16
BK001,2025-03-26,Ortahisar,0.428,85.1,27.2,66.0,1.75,0,0,0,0.04
BK001,2025-03-25,Vakfıkebir,0.382,123.2,26.1,61.8,2.41,0,0,0,0.06
BK001,2025-03-23,Köprübaşı,0.396,103.9,33.9,52.6,1.34,0,0,0,0.16
BK001,2025-03-11,Beşikdüzü,0.406,89.3,39.3,69.7,1.4,0,0,0,0.18
BK001,2025-03-05,Maçka,0.425,112.3,39.5,62.5,1.62,0,0,0,0.13
BK001,2025-03-31,Dernekpazarı,0.4,121.8,28.7,92.2,2.31,0,0,0,0.08
BK001,2025-03-04,Arsin,0.415,87.3,22.4,60.5,2.43,0,0,0,0.15
BK001,2025-03-13,Of,0.401,82.9,31.8,70.6,2.54,0,0,0,0.24
BK001,2025-03-12,Düzköy,0.405,107.7,49.3,70.7,2.57,0,0,0,0.1
BK001,2025-03-20,Beşikdüzü,0.39,101.2,41.6,46.3,2.34,0,0,0,0.04
BK001,2025-03-26,Akçaabat,0.393,89.3,33.4,57.7,2.11,0,0,0,0.35
BK001,2025-03-24,Şalpazarı,0.359,102.8,26.7,73.5,1.6,0,1,0,0.17
BK001,2025-03-18,Of,0.433,92.9,26.7,82.7,2.2,0,0,0,0.32
BK001,2025-03-30,Hayrat,0.425,89.4,32.2,72.7,1.54,0,0,0,0.25
BK001,2025-03-03,Araklı,0.374,93.4,30.7,79.4,1.28,0,0,0,0.06
BK001,2025-03-10,Düzköy,0.401,94.2,30.6,71.6,2.79,0,0,0,0.05
BK001,2025-03-19,Maçka,0.398,104.2,26.9,62.9,1.75,0,0,0,0.07
BK001,2025-03-23,Arsin,0.418,104.6,34.1,71.3,1.59,0,0,0,0.17
BK001,2025-03-02,Yomra,0.376,108.2,29.0,62.8,2.55,0,0,0,0.29
BK001,2025-03-25,Çarşıbaşı,0.406,98.0,30.5,71.0,1.59,0,0,0,0.33
BK001,2025-03-03,Yomra,0.413,99.8,25.5,65.8,1.66,0,0,0,0.09
BK001,2025-03-28,Of,0.384,103.7,31.2,59.9,1.76,0,1,0,0.13
BK001,2025-03-13,Beşikdüzü,0.39,89.2,28.9,68.1,2.74,0,0,0,0.19
BK001,2025-03-15,Düzköy,0.406,87.6,32.6,80.3,1.95,0,0,0,0.18
BK001,2025-03-06,Düzköy,0.42,101.5,26.1,65.2,2.25,0,0,0,0.46
BK001,2025-03-12,Maçka,0.444,87.9,25.8,59.0,0.94,0,0,0,0.18
BK001,2025-03-22,Beşikdüzü,0.407,86.5,32.5,51.8,2.92,1,0,1,0.31
BK001,2025-03-23,Arsin,0.366,120.3,29.4,77.4,1.2,0,0,0,0.06
BK001,2025-03-20,Vakfıkebir,0.406,93.2,33.1,54.3,1.93,1,0,1,0.3
BK001,2025-03-18,Yomra,0.407,88.8,37.8,66.2,2.59,0,0,0,0.2
BK001,2025-03-06,Şalpazarı,0.395,109.7,36.8,55.4,2.34,0,0,0,0.4
BK001,2025-03-13,Beşikdüzü,0.395,110.8,37.5,65.7,2.81,0,0,0,0.04
BK001,2025-03-30,Araklı,0.416,105.8,29.8,44.3,1.96,0,0,0,0.24
BK001,2025-03-08,Dernekpazarı,0.399,114.3,25.1,70.0,1.73,0,0,0,0.13
BK001,2025-03-27,Akçaabat,0.396,129.5,30.2,58.0,2.11,0,0,0,0.15
BK001,2025-03-08,Akçaabat,0.389,91.4,28.6,42.0,1.24,0,0,0,0.25
BK001,2025-03-26,Dernekpazarı,0.38,146.2,35.6,63.7,1.52,0,0,0,0.13
BK001,2025-03-13,Beşikdüzü,0.387,83.8,38.4,73.8,2.0,0,0,0,0.34
BK001,2025-03-03,Maçka,0.432,86.9,23.1,74.3,2.95,0,1,0,0.04
BK001,2025-03-30,Dernekpazarı,0.387,92.7,27.0,56.4,2.02,0,1,0,0.07
BK001,2025-03-07,Tonya,0.398,91.3,33.8,70.0,1.51,1,0,1,0.03
BK001,2025-03-13,Şalpazarı,0.385,72.9,21.9,65.5,2.13,0,0,0,0.03
BK001,2025-03-05,Beşikdüzü,0.368,87.1,28.1,75.1,1.71,0,0,0,0.14
BK001,2025-03-05,Yomra,0.412,97.0,31.9,59.0,2.04,0,0,0,0.16
BK001,2025-03-24,Araklı,0.412,105.9,27.9,67.9,3.04,0,0,0,0.31
BK001,2025-03-18,Beşikdüzü,0.363,94.7,30.1,81.8,2.16,0,0,0,0.16
BK001,2025-03-24,Köprübaşı,0.406,77.8,35.7,68.4,1.79,0,0,0,0.15
BK001,2025-03-29,Hayrat,0.417,87.2,30.4,60.2,2.24,0,0,0,0.13
BK001,2025-03-12,Yomra,0.391,111.4,25.4,73.7,2.68,0,0,0,0.12
BK001,2025-03-05,Çaykara,0.364,122.4,33.3,64.4,2.14,0,0,0,0.04
BK001,2025-03-16,Arsin,0.412,88.1,32.4,83.8,2.67,0,0,0,0.07
BK001,2025-03-25,Akçaabat,0.401,116.4,21.5,80.3,1.92,0,0,0,0.09
BK001,2025-03-28,Of,0.354,80.7,23.5,61.6,2.83,0,0,0,0.13
BK001,2025-03-05,Vakfıkebir,0.395,110.4,39.2,76.3,1.87,0,1,0,0.07
BK001,2025-03-26,Köprübaşı,0.403,103.0,29.3,59.3,1.73,0,0,0,0.08
BK001,2025-03-20,Arsin,0.347,116.4,36.2,44.3,1.83,0,0,0,0.09
BK001,2025-03-13,Hayrat,0.373,114.0,36.4,72.2,1.44,0,0,0,0.09
BK001,2025-03-20,Şalpazarı,0.395,94.4,33.6,69.4,1.82,0,0,0,0.41
BK001,2025-03-17,Beşikdüzü,0.435,92.2,35.2,58.0,1.3,0,0,0,0.03
BK001,2025-03-18,Ortahisar,0.404,98.5,27.3,69.0,1.98,0,0,0,0.16
BK001,2025-03-22,Of,0.413,102.6,29.1,65.2,2.17,0,0,0,0.22
BK001,2025-03-22,Araklı,0.421,107.1,31.3,74.8,2.83,0,0,0,0.23
BK001,2025-03-25,Beşikdüzü,0.353,107.8,26.4,66.9,1.62,0,0,0,0.11
BK001,2025-03-25,Dernekpazarı,0.381,139.5,32.5,66.8,1.57,0,0,0,0.22
BK001,2025-03-04,Çarşıbaşı,0.387,117.2,26.5,64.7,2.89,0,0,0,0.26
BK001,2025-03-14,Vakfıkebir,0.412,76.4,26.4,62.5,1.96,0,0,0,0.17
BK001,2025-03-15,Ortahisar,0.412,112.5,32.3,64.3,1.17,0,1,0,0.18
BK001,2025-03-31,Beşikdüzü,0.378,115.8,29.8,71.8,2.01,0,0,0,0.22
BK001,2025-03-17,Vakfıkebir,0.41,103.3,27.6,77.6,1.55,0,0,0,0.3
BK001,2025-03-17,Of,0.405,113.3,30.4,75.7,1.74,0,0,0,0.44
BK001,2025-03-28,Çarşıbaşı,0.365,93.7,28.6,51.6,1.54,0,0,0,0.13
BK001,2025-03-27,Çaykara,0.42,96.8,29.8,71.7,1.44,1,0,1,0.14
BK001,2025-03-20,Maçka,0.432,90.4,27.3,58.8,1.72,0,0,0,0.35
BK001,2025-03-05,Düzköy,0.389,109.5,31.0,49.8,2.77,0,0,0,0.31
BK001,2025-03-25,Vakfıkebir,0.422,97.3,26.0,51.2,1.63,0,0,0,0.09
BK001,2025-03-18,Çaykara,0.451,92.0,27.6,75.4,2.34,0,0,0,0.29
BK001,2025-03-30,Ortahisar,0.408,112.3,32.5,75.7,2.58,0,0,0,0.13
BK001,2025-03-20,Dernekpazarı,0.407,94.1,30.1,77.8,2.1,0,0,0,0.1
BK001,2025-03-16,Ortahisar,0.404,103.7,37.9,64.0,2.14,0,0,0,0.1
BK001,2025-03-04,Düzköy,0.403,89.5,36.0,49.8,1.72,0,0,0,0.19
BK001,2025-03-29,Çarşıbaşı,0.359,91.7,39.4,50.5,0.9,0,0,0,0.05
BK001,2025-03-08,Akçaabat,0.374,113.1,33.3,64.0,2.92,0,0,0,0.05
BK001,2025-03-08,Arsin,0.396,81.2,37.2,64.2,2.56,1,0,1,0.16
BK001,2025-03-03,Tonya,0.413,119.9,31.0,72.1,1.96,0,0,0,0.42
BK001,2025-03-27,Arsin,0.394,101.9,26.6,73.4,1.67,0,0,0,0.23
BK001,2025-03-25,Araklı,0.416,106.4,25.2,64.5,2.0,0,0,0,0.07
BK001,2025-03-25,Sürmene,0.401,85.0,28.6,83.0,2.32,0,0,0,0.25
BK001,2025-03-05,Tonya,0.401,90.3,33.5,68.9,2.45,0,0,0,0.21
BK001,2025-03-31,Araklı,0.419,131.1,26.6,82.4,2.1,0,0,0,0.1
BK001,2025-03-06,Beşikdüzü,0.41,91.4,29.9,86.4,2.86,0,1,0,0.26
BK001,2025-03-17,Köprübaşı,0.411,96.1,21.7,69.0,2.32,0,0,0,0.04
BK001,2025-03-31,Maçka,0.421,98.4,38.9,48.7,1.71,0,0,0,0.28
BK001,2025-03-30,Araklı,0.408,89.7,31.6,62.1,1.17,0,0,0,0.1
BK001,2025-03-25,Maçka,0.365,105.6,29.6,73.1,1.38,0,0,0,0.04
BK001,2025-03-23,Çarşıbaşı,0.358,103.8,28.7,77.3,2.32,0,0,0,0.05
BK001,2025-03-13,Düzköy,0.442,105.4,36.5,62.0,2.19,0,0,0,0.18
BK001,2025-03-15,Çaykara,0.397,84.5,29.1,69.5,1.71,0,1,0,0.12
